Id,DistrictId,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Price,Ecology_2_A,Ecology_3_A,Shops_2_A
11809,27.0,102.08924188493728,32.781260192155735,10.0,4,10.0,2014.0,0.07542368,11,3097.0,0.0,900.0,0,0.0,305018.8710894109,0,0,0
3013,22.0,39.83252387029935,23.16922266530641,8.0,7,8.0,1966.0,0.118537385,30,6207.0,1.0,1183.0,1,0.0,177734.55340714107,0,0,0
8215,1.0,78.34221506646014,47.67197161462768,10.0,2,17.0,1988.0,0.025609157,33,5261.0,0.0,590.0,3,1.0,282078.7208500433,0,0,0
2352,1.0,40.40990691527505,32.781260192155735,1.0,10,22.0,1977.0,0.007122317,1,264.0,0.0,900.0,0,1.0,168106.00763001086,0,0,0
13866,94.0,64.28506724828556,38.56251674804049,9.0,16,16.0,1972.0,0.282797669,33,8667.0,2.0,900.0,0,6.0,343995.10296205425,0,0,0
5804,99.0,62.52846461595018,47.10383298933234,6.0,9,9.0,1972.0,0.012338886,35,5776.0,1.0,1230.0,2,4.0,161044.94413780785,0,0,0
8864,44.0,33.938750019723045,21.77293026842016,9.0,1,12.0,1968.0,0.232205084,24,4860.0,1.0,590.0,0,3.0,142402.73927153,0,0,0
13072,59.0,50.3918142242363,32.89325633384121,8.0,8,17.0,1986.0,0.019508796,37,7687.0,11.0,590.0,5,5.0,326174.1751906913,0,0,0
9951,1.0,46.88789179234404,44.62813153648891,1.0,12,20.0,1977.0,0.007122317,1,264.0,0.0,900.0,0,1.0,160400.40173203114,0,0,0
8094,6.0,79.86747667320513,65.27698614376342,1.0,3,17.0,2014.0,0.243204519,5,1564.0,0.0,590.0,0,0.0,194756.02394527625,0,0,0
535,2.0,74.19904875578756,44.73588895764597,10.0,5,14.0,2008.0,0.035145267,42,9292.0,3.0,1230.0,0,3.0,392029.7045148854,0,0,0
16755,88.0,53.97514357835883,34.15358375347871,8.0,2,12.0,1978.0,0.127375905,43,8429.0,3.0,900.0,3,9.0,253124.0053320823,0,0,0
898,93.0,47.56444337054507,23.574422811627468,13.0,9,24.0,2012.0,0.050900058,43,10621.0,1.0,590.0,2,3.0,199556.8659052025,0,0,0
3526,90.0,43.87102586277203,26.11438626655661,5.0,5,9.0,1969.0,0.265088676,37,5288.0,0.0,1230.0,3,2.0,213001.5152692308,0,0,0
191,36.0,81.99479026880738,43.68879835806401,10.0,2,22.0,2008.0,0.08761909,8,1497.0,5.0,900.0,1,0.0,392029.7045148854,0,0,0
4328,96.0,36.67340725700864,16.285522177555233,9.0,3,12.0,2003.0,0.041116354,53,14892.0,4.0,900.0,1,4.0,168143.3456997873,0,0,0
11942,48.0,44.825250190495375,24.240045212498355,8.0,7,12.0,1981.0,0.041124634,46,9515.0,5.0,900.0,1,10.0,207633.6602870756,0,0,0
1190,8.0,49.39599972865716,28.299600040195045,5.0,6,5.0,1962.0,0.458174486,26,4439.0,1.0,1130.0,1,5.0,186971.9265661055,0,1,0
4581,1.0,47.582479895571225,32.781260192155735,1.0,16,16.0,1977.0,0.007122317,1,264.0,0.0,900.0,0,1.0,128803.59381001432,0,0,0
367,45.0,42.367288692851375,40.012528663007295,1.0,16,14.0,2015.0,0.195781053,23,5212.0,6.0,900.0,3,2.0,250466.98077681608,0,0,0
8768,63.0,50.97489077227677,32.781260192155735,1.0,7,16.0,2018.0,0.23861713,26,3889.0,6.0,705.0,3,6.0,260328.41337559265,0,0,0
8471,20.0,75.61106465625633,47.49462144277383,8.0,11,9.0,1976.0,0.019508796,37,7687.0,11.0,590.0,5,5.0,366916.2464940092,0,0,0
1550,7.0,86.32636026251232,46.09724096684023,10.0,3,17.0,1986.0,0.0,23,5067.0,4.0,900.0,2,6.0,392029.7045148854,0,0,0
13427,103.0,38.174327931544674,23.12301444721017,9.0,6,12.0,1969.0,0.014423114,19,3806.0,4.0,900.0,0,3.0,194273.0445550664,0,0,0
4717,27.0,44.20394691086295,32.781260192155735,0.0,2,0.0,1977.0,0.072157581,2,629.0,1.0,900.0,0,0.0,135466.55995845908,0,0,1
4521,6.0,65.40996541571897,32.781260192155735,1.0,18,1.0,1977.0,0.243204519,5,1564.0,0.0,590.0,0,0.0,191205.27260844488,0,0,0
8553,88.0,83.26252987516949,4.7691744289810005,1.0,13,1.0,1977.0,0.127375905,43,8429.0,3.0,900.0,3,9.0,392029.7045148854,0,0,0
1403,67.0,52.96691455467195,33.79333603319955,8.0,13,14.0,1985.0,0.0077202819999999,38,4788.0,2.0,900.0,0,4.0,235998.2077440021,0,0,0
1924,24.0,34.127058575140786,19.435737708983076,6.0,5,5.0,1960.0,0.111627393,50,12238.0,8.0,1230.0,2,3.0,173155.77077902228,0,0,0
5273,23.0,53.19964976411252,32.45905229638281,9.0,3,3.0,2019.0,0.005767451,1,388.0,0.0,900.0,0,0.0,94061.94357934452,0,0,0
5931,23.0,43.03339773536077,32.781260192155735,1.0,3,4.0,1977.0,0.014072961,2,475.0,0.0,900.0,0,0.0,72659.97157533352,0,0,0
13084,38.0,47.83762991944312,22.2977391797552,1.0,21,24.0,2014.0,0.060753049,15,2787.0,2.0,590.0,0,7.0,233717.2987088421,0,0,0
3876,100.0,102.08924188493728,65.27698614376342,8.0,4,8.0,1960.0,0.200146802,23,3975.0,8.0,770.0,2,0.0,392029.7045148854,0,0,0
847,74.0,73.31497505994463,65.27698614376342,1.0,7,6.0,1977.0,0.075778755,6,1437.0,3.0,900.0,0,2.0,254005.38186295828,0,0,0
7757,27.0,58.78366099380082,55.441255821329314,11.0,13,12.0,1977.0,0.011654127,4,915.0,0.0,900.0,0,0.0,138396.98461170195,0,0,0
